,MONTH,SOURCE_SYS_CD,PRICE_TO_BP,BID_MARGIN_TOTAL,BID_MARGIN,BID_DISCOUNT,STOP_BIDS,BPCOPS,MISSING,COUNTRY,CONFIDENTIALITY,ROUTE_TO_MARKET,NON_COMPETITIVE_BID,OFF_SHORE_PMT_TERMS,BUNDLED_SOLUTION,CONTINGENCY_FEE,FOCUS,HW_SW,bid_id
22180,9,SQO,24428.5,2124.2174,8,24.56,0,0,0,IT,(null),(null),(null),(null),(null),(null),0,SW,10121492
22181,12,SQO,447.5915,49.7318,9.9999,53.8254,0,0,0,IN,N,N,N,N,N,N,0,SW,9247732
22182,9,SQO,24438.0,8141.97,24.9907,31.661,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,10082540
22183,9,SQO,9390.0,3131.9901,25.0119,73.7416,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,10155969
22184,9,SQO,8142.0,2711.9912,24.9861,77.2315,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,10156553
22185,9,SQO,8142.0,2711.9912,24.9861,77.2315,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,10157028
22186,9,SQO,159748.6,53247.033,24.9991,31.4912,0,1,0,SA,N,N,N,N,Y,N,1,SW,10082578
22187,9,SQO,208556.7,69512.2622,24.9982,73.7356,0,0,0,SA,N,N,N,N,Y,N,1,SW,10135296
22188,9,SQO,208556.7,69512.2622,24.9982,73.7356,0,0,0,SA,N,N,N,N,Y,N,1,SW,10141652
22189,9,SQO,208551.81,69516.9894,24.9999,84.2859,0,1,0,SA,N,N,N,N,Y,N,0,SW,10145018
22190,9,SQO,200414.7,66800.2937,24.9987,73.7356,0,0,0,SA,N,N,N,N,Y,N,1,SW,10155921
22191,10,SQO,65970.0,21990,25,25,0,1,0,SA,N,N,N,N,N,N,1,SW,8971472
22192,11,SQO,71468.7,7940.3491,9.9993,47.5127,0,0,0,SA,N,N,N,N,Y,N,0,SW,9137187
22193,12,SQO,70249.82,7805.4499,9.9999,48.4078,0,0,0,SA,N,N,N,N,Y,N,0,SW,9179649
22194,12,SQO,70249.82,7805.4499,9.9999,48.4078,0,0,0,SA,N,N,N,N,Y,N,0,SW,9227069
22195,9,SQO,5646.55,1882.1749,24.9999,51.1375,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,10108085
22196,9,SQO,24352.1,8117.3675,25,59.1249,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,10108289
22197,9,SQO,5646.55,1882.1749,24.9999,51.1375,0,0,0,SA,(null),(null),(null),(null),(null),(null),0,SW,10127312
22198,7,SQO,489920.02,163305.9067,24.9999,39.6925,0,1,0,SA,N,N,N,N,Y,N,0,SW,9886768
22199,10,SQO,42135.51,14037.8425,24.9902,24.9902,0,1,0,SA,N,N,N,N,N,N,1,SW,8965775
22200,12,SQO,31199.2,10394.2006,24.99,24.99,0,0,0,SA,N,N,N,N,Y,N,0,SW,9162395
